x,y,z,results4,results5
-0.419984705,3481.161917,13816.9578,1914.521061,1917.151335
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.536213584,3481.036839,13816.00007,1913.978214,1916.375471
-0.445582424,3481.586505,13815.77847,1914.20445,1915.877063
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
0.439420534,3481.668025,13812.73002,1913.734161,1912.231145
-0.610681294,3481.727277,13814.72634,1913.810573,1914.949045
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
-0.543504769,3481.556208,13815.19701,1914.008052,1915.483462
0.649469555,3481.097895,13813.39559,1914.543907,1912.533602
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.473644996,3480.663744,13811.53535,1913.861647,1910.735288
0.614194606,3480.774564,13812.97968,1914.557304,1912.013655
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
