x0,y0,z0,Radius,Rsquare
3481.900359,19576,13811.35117,1915.125348,0.999859915
3481.900359,19577,13811.35117,1915.125348,0.999859915
3481.900359,19578,13811.35117,1915.125348,0.999859915
3481.900359,19579,13811.35117,1915.125348,0.999859915
3481.900359,19580,13811.35117,1915.125348,0.999859915
3481.251857,19581,13810.49584,1914.386321,0.999819659
3479.748252,19582,13814.39277,1916.778794,0.999431331
3479.748252,19583,13814.39277,1916.778794,0.999431331
3479.748252,19584,13814.39277,1916.778794,0.999431331
3479.748252,19585,13814.39277,1916.778794,0.999431331
3479.748252,19586,13814.39277,1916.778794,0.999431331
3479.748252,19587,13814.39277,1916.778794,0.999431331
3479.748252,19588,13814.39277,1916.778794,0.999431331
3479.916471,19589,13814.33198,1916.956515,0.999632368
3480.147699,19590,13814.43044,1917.200622,0.999695443
3480.147699,19591,13814.43044,1917.200622,0.999695443
3480.147699,19592,13814.43044,1917.200622,0.999695443
3480.147699,19593,13814.43044,1917.200622,0.999695443
3480.147699,19594,13814.43044,1917.200622,0.999695443
3480.147699,19595,13814.43044,1917.200622,0.999695443
3480.147699,19596,13814.43044,1917.200622,0.999695443
3481.039789,19597,13809.28992,1913.862024,0.999908425
3480.941054,19598,13809.37824,1913.969218,0.999907338
3480.941054,19599,13809.37824,1913.969218,0.999907338
3480.941054,19600,13809.37824,1913.969218,0.999907338
3480.941054,19601,13809.37824,1913.969218,0.999907338
3480.941054,19602,13809.37824,1913.969218,0.999907338
3480.941054,19603,13809.37824,1913.969218,0.999907338
3480.941054,19604,13809.37824,1913.969218,0.999907338
3481.250696,19605,13809.44196,1914.046783,0.999939198
3481.170244,19606,13809.31972,1913.96131,0.999931653
3481.170244,19607,13809.31972,1913.96131,0.999931653
3481.170244,19608,13809.31972,1913.96131,0.999931653
3481.170244,19609,13809.31972,1913.96131,0.999931653
3481.170244,19610,13809.31972,1913.96131,0.999931653
3481.170244,19611,13809.31972,1913.96131,0.999931653
3481.170244,19612,13809.31972,1913.96131,0.999931653
3481.374515,19613,13809.88442,1914.410254,0.999967568
3481.431168,19614,13810.8915,1915.185682,0.999963362
3481.431168,19615,13810.8915,1915.185682,0.999963362
3481.431168,19616,13810.8915,1915.185682,0.999963362
3481.431168,19617,13810.8915,1915.185682,0.999963362
3481.431168,19618,13810.8915,1915.185682,0.999963362
3481.431168,19619,13810.8915,1915.185682,0.999963362
3481.431168,19620,13810.8915,1915.185682,0.999963362
3481.267963,19621,13810.21677,1914.651298,0.999943339
3481.259758,19622,13810.53741,1914.726049,0.999787386
3481.259758,19623,13810.53741,1914.726049,0.999787386
3481.259758,19624,13810.53741,1914.726049,0.999787386
3481.259758,19625,13810.53741,1914.726049,0.999787386
3481.259758,19626,13810.53741,1914.726049,0.999787386
3481.259758,19627,13810.53741,1914.726049,0.999787386
3481.259758,19628,13810.53741,1914.726049,0.999787386
